GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
7.212132,19,0.082842104,0.026438136,0.085,0.051999997,0.134,0.082,1.4652687,0.97200686,1.4561712,0,4.031816,4.031816,16,0.1481875,0.04917598,0.133,0.109,0.283,0.174,1.8250234,2.2585452,0.77596235,0.5759349,7.711989,7.136054,25,0.1382557,0.03347182,0.12824975,0.102000006,0.25007197,0.14807197,1.1616017,1.0823131,0.639912,0,4.992076,4.992076,0.13043478,2,0.5840705,0.08785029,0.5840705,0.4962202,0.6719208,0.17570058,12.456027,1.5440874,12.456027,10.91194,14.000114,3.0881748,distracted
6.3742685,13,0.07892308,0.026254559,0.073,0.051999997,0.156,0.104,2.2437003,1.3803905,1.9999878,0.5921349,4.8482203,4.2560854,9,0.137,0.026708303,0.129,0.100999996,0.178,0.07700001,3.2551541,3.446598,1.8719177,0.4321208,11.503861,11.071741,16,0.13477315,0.0307837,0.1277876,0.10072239,0.20538014,0.104657754,1.8310242,1.5780101,0.8478637,0.4321208,5.1522803,4.7201595,0.21763085,4,0.61187434,0.23298287,0.54389954,0.3996109,0.9600875,0.56047654,6.868201,5.568298,6.0242434,0.9920209,14.432296,13.440275,distracted
8.789519,26,0.082384616,0.022059495,0.0775,0.052,0.156,0.104,1.113859,0.73092395,0.76002735,0.0642126,3.3279898,3.2637773,13,0.12984616,0.041245695,0.120000005,0.100999996,0.268,0.16700001,2.0591054,1.6593342,1.7600232,0,6.719584,6.719584,21,0.12613556,0.02348479,0.11915115,0.10072239,0.20538014,0.104657754,1.3920205,0.89688444,1.328018,0,3.2320106,3.2320106,0.14805195,3,0.8053726,0.31365544,0.9600619,0.367996,1.0880599,0.7200639,7.098686,6.979005,3.4561477,0.9758571,16.864054,15.888197,distracted
5.2962074,15,0.0862,0.027907465,0.074999996,0.061,0.15599999,0.094999984,1.9530928,1.7357293,0.9283933,0,5.4880805,5.4880805,5,0.15519999,0.08137665,0.11399999,0.100999996,0.31599998,0.21499999,5.798489,5.0796456,4.0163937,0.7678,15.424213,14.656413,14,0.13671723,0.055135917,0.117791176,0.100448996,0.31815875,0.21770975,2.070889,1.9752973,0.7839538,0,5.4880805,5.4880805,0.04109589,2,0.5117911,0.031965688,0.5117911,0.4798254,0.5437568,0.063931376,12.608316,2.1439605,12.608316,10.464356,14.752277,4.287921,distracted
5.9059896,20,0.0828,0.030347321,0.073,0.051000003,0.176,0.125,1.4416071,1.2623057,1.0081042,0,5.567997,5.567997,3,0.20966665,0.050631564,0.23499998,0.139,0.255,0.116,9.6907215,12.788371,0.7038481,0.5922215,27.776094,27.183872,14,0.1347421,0.05017466,0.113818124,0.10090094,0.29459295,0.193692,2.0697234,1.6451874,1.9359425,0,5.5519943,5.5519943,0.110552765,4,0.5919818,0.33953688,0.4479453,0.3038458,1.1681908,0.8643451,6.8920636,7.3514285,3.7759576,0.9602613,19.056078,18.095818,distracted
4.953846,8,0.079,0.023695992,0.065500006,0.057000004,0.12200001,0.065000005,2.8020294,3.5589173,0.95196235,0.4959744,11.664261,11.168286,4,0.1505,0.018337118,0.1505,0.126,0.175,0.048999995,4.8121786,6.7032638,1.1281699,0.5923879,16.399986,15.807598,8,0.1363803,0.023041595,0.13627252,0.10316007,0.17501143,0.07185136,2.8520048,3.3244817,1.3996593,0.5923879,10.544145,9.9517565,0.15039578,5,0.73591524,0.35627002,0.5437889,0.4320041,1.3921342,0.9601301,3.212919,3.2390952,2.224375,0.5919491,9.504077,8.9121275,distracted
5.0431843,7,0.08042857,0.02658602,0.077999994,0.051999997,0.12200001,0.07000001,3.734836,3.0763254,2.3040178,0.6881859,7.711867,7.023681,6,0.14566667,0.01670994,0.1415,0.126,0.175,0.048999995,2.991989,3.8085856,1.1281699,0.5923879,11.247527,10.655139,9,0.14028148,0.018378537,0.14128694,0.10870603,0.17501143,0.0663054,1.9946592,2.161017,1.1679097,0.5923879,7.680203,7.0878153,0.119592875,4,0.7999762,0.36961225,0.6639466,0.4798774,1.3921342,0.9122568,3.7960465,4.379945,1.6400915,0.5919491,11.312054,10.720104,distracted
5.1219687,13,0.072692305,0.024984257,0.063,0.052,0.143,0.091000006,2.2437015,2.3289819,0.9921186,0.5757108,8.240113,7.6644025,1,0.15400001,0,0.15400001,0.15400001,0.15400001,0,28.768217,0,28.768217,28.768217,28.768217,0,5,0.12159636,0.020286096,0.108046286,0.10406248,0.15689488,0.052832395,5.753643,6.267429,1.8883322,1.0720803,17.487885,16.415804,0.7265625,5,2.550398,2.4884374,1.4079032,0.607617,7.279916,6.672299,3.4239912,4.7114015,0.6882904,0,12.560314,12.560314,distracted
4.5385895,13,0.06130769,0.010794478,0.059,0.051,0.089,0.038000003,2.2030911,1.5241256,1.9999617,0.5757463,5.3122106,4.7364645,1,0.171,0,0.171,0.171,0.171,0,28.640184,0,28.640184,28.640184,28.640184,0,1,0.18329485,0,0.18329485,0.18329485,0.18329485,0,28.640184,0,28.640184,28.640184,28.640184,0,0.20708446,5,0.89917946,0.46499515,0.7360976,0.4318186,1.5359465,1.1041279,5.0880713,8.302368,1.0718987,0.5602512,21.680153,21.119902,distracted
4.5250626,8,0.072625,0.021183351,0.066,0.051,0.103,0.052,3.6180084,2.422299,2.7280312,1.0560194,7.455835,6.3998156,3,0.124,0.013490741,0.125,0.10699999,0.14,0.033000007,9.744061,6.786383,11.615913,0.6561652,16.960106,16.30394,6,0.13189575,0.021810079,0.13100794,0.101192884,0.17321663,0.07202374,4.8400245,4.0721126,4.1919446,0.6561652,9.744026,9.087861,0.03521127,2,0.4639446,0.06398,0.4639446,0.3999646,0.5279246,0.12796,14.472151,2.263946,14.472151,12.208205,16.736097,4.527892,distracted
5.45726,13,0.06361538,0.008148038,0.06,0.055,0.08,0.024999999,2.2215426,1.8269944,1.6318994,0.575963,5.9199157,5.3439527,5,0.13159999,0.02581937,0.13,0.101,0.174,0.07299999,5.8336387,7.767689,1.4715322,0.6399168,20.976624,20.336706,7,0.12610173,0.025322108,0.11400438,0.10139033,0.1778904,0.07650007,4.1440406,4.5267916,2.8319154,0.6399168,14.528271,13.888354,0.17819148,5,0.768031,0.5739387,0.4639767,0.4002161,1.9038318,1.5036157,5.1872497,2.9466872,5.280228,1.3601313,10.143947,8.783815,distracted
4.9672294,8,0.066875,0.014529601,0.064500004,0.051000003,0.095,0.043999996,3.662045,3.0613358,3.1361122,0.6560309,10.4481535,9.792123,4,0.121,0.029478801,0.105000004,0.102,0.17199999,0.06999999,7.2720995,8.714429,3.1679945,0.6400835,22.112326,21.472242,4,0.13003227,0.029754981,0.118627235,0.10375451,0.17912006,0.07536555,7.2720995,8.676458,3.200063,0.6400835,22.04819,21.408106,0.25714287,4,1.312034,1.1856574,0.7760947,0.3679427,3.3280041,2.9600616,6.1600585,4.5990634,5.7200437,0.3999947,12.800153,12.400158,distracted
5.0695567,15,0.06453333,0.0136717055,0.059,0.051,0.096999995,0.045999996,1.9242842,1.1876084,1.7281197,0.5601909,3.792077,3.2318861,1,0.128,0,0.128,0.128,0.128,0,27.856188,0,27.856188,27.856188,27.856188,0,5,0.11076965,0.011674046,0.104785495,0.10007996,0.13061394,0.030533977,5.7728524,3.8132224,4.7518964,1.0080739,12.144095,11.136022,0.009237875,0,0,0,0,0,0,0,30,0,30,30,30,0,distracted
6.3683023,14,0.07621428,0.017728824,0.072,0.053000003,0.118,0.065,2.094882,2.4511123,0.9601109,0.6238606,9.504018,8.880157,9,0.135,0.034599293,0.128,0.103999995,0.204,0.1,3.2587054,3.4366858,1.9037987,0.6242438,9.568442,8.944199,14,0.13035017,0.025588306,0.11952604,0.10683164,0.20529246,0.09846082,2.094882,2.7699254,0.8487566,0.6242438,9.568442,8.944199,0.17615177,3,1.2905437,1.1353904,0.511832,0.4638102,2.8959887,2.4321785,5.440094,1.7157208,5.98406,3.1202772,7.2159443,4.095667,distracted
5.2857814,13,0.06984615,0.015917316,0.066,0.053000003,0.102000006,0.049000002,2.253558,1.8932945,1.1678773,0.5440745,5.7277603,5.183686,5,0.1196,0.014263238,0.114,0.104,0.146,0.041999996,5.8592505,6.6620946,3.2318664,0.7359913,18.784258,18.048267,5,0.13357267,0.011451694,0.1355913,0.119632766,0.14601369,0.026380926,5.8592505,6.758314,3.2318664,0.7359913,19.02419,18.2882,0.4375,8,0.9540788,0.62043303,0.7361533,0.3998978,2.1920953,1.7921975,2.7839298,2.9628282,1.4636576,0.4316818,9.184017,8.752336,distracted
5.2686234,17,0.070117645,0.017519342,0.065,0.053,0.108,0.055000003,1.7091982,1.7666188,0.7521504,0,5.7277603,5.7277603,6,0.11833333,0.013609635,0.117,0.103,0.14199999,0.03899999,4.909388,6.5065174,1.5440614,0.5598699,18.784258,18.224388,7,0.13417919,0.02231146,0.13368994,0.100895986,0.17840403,0.07750805,4.1714454,6.351373,0.7521504,0,19.02419,19.02419,0.24858756,4,1.0240691,0.71897465,0.7521416,0.3998978,2.1920953,1.7921975,4.84403,2.9286075,4.256032,1.791866,9.07219,7.2803245,distracted
4.860469,5,0.063,0.007924646,0.063,0.052,0.074,0.022,4.678393,2.3624396,3.8880544,1.4079754,8.319874,6.9118986,3,0.14866666,0.0028674407,0.14899999,0.14500001,0.15200001,0.0069999993,9.071991,6.2364793,10.944037,0.6719138,15.60002,14.928106,3,0.15098423,0.001852614,0.14996666,0.14940216,0.15358387,0.004181713,9.071991,6.2364793,10.944037,0.6719138,15.60002,14.928106,0.03255814,1,0.6880863,0,0.6880863,0.6880863,0.6880863,0,27.712086,0,27.712086,27.712086,27.712086,0,distracted
5.538603,10,0.0657,0.007443789,0.068,0.050000004,0.076000005,0.026,2.7280037,2.6771808,1.6480172,0.3039604,8.319874,8.015913,2,0.138,0.0109999925,0.138,0.127,0.14899999,0.021999985,14.568077,2.1202369,14.568077,12.447841,16.688314,4.2404737,2,0.14046806,0.009498596,0.14046806,0.13096946,0.14996666,0.018997192,14.568077,2.1202369,14.568077,12.447841,16.688314,4.2404737,0.029885057,1,0.6880863,0,0.6880863,0.6880863,0.6880863,0,12.943954,0,12.943954,12.943954,12.943954,0,distracted
5.1250863,12,0.061833337,0.011859127,0.0575,0.050000004,0.088,0.037999995,2.4440322,1.500203,2.5681844,0.575912,5.3441277,4.7682157,5,0.1354,0.017024688,0.14500001,0.106,0.153,0.047,5.8656774,5.751285,5.680262,0.575912,16.320068,15.744156,8,0.13105287,0.02579042,0.12398687,0.10024469,0.17046994,0.070225246,3.6660483,3.7674696,2.1919239,0.575912,12.032291,11.456379,0.05035971,2,0.59217954,0.031981915,0.59217954,0.5601976,0.6241614,0.06396383,14.352016,8.128182,14.352016,6.223834,22.480198,16.256363,distracted
4.7224464,9,0.067,0.017009802,0.060000002,0.053,0.111,0.058000002,3.0773926,2.2186792,2.7204058,0.7680462,8.015977,7.2479305,3,0.13533333,0.009104334,0.131,0.127,0.148,0.020999998,1.551988,1.0750765,0.9920057,0.6078473,3.056111,2.448264,4,0.13780293,0.024781143,0.14046666,0.10160709,0.16867128,0.06706419,5.3360457,6.619979,2.0240583,0.6078473,16.68822,16.080372,0.03782506,1,0.4640021,0,0.4640021,0.4640021,0.4640021,0,4.4481363,0,4.4481363,4.4481363,4.4481363,0,distracted
4.7127504,10,0.0679,0.016361235,0.062000003,0.053,0.111,0.058000002,2.910409,2.040957,2.8241153,0.7680462,8.015977,7.2479305,4,0.13275,0.009065732,0.12900001,0.125,0.148,0.023000002,7.2439847,10.741616,1.2639246,0.6078473,25.840242,25.232395,5,0.13197987,0.025038293,0.131,0.10160709,0.16867128,0.06706419,5.785615,6.2885294,1.5358436,0.6078473,16.68822,16.080372,0.04761905,2,0.41591394,0.04808815,0.41591394,0.3678258,0.4640021,0.0961763,14.520077,11.592207,14.520077,2.9278688,26.112284,23.184414,distracted
5.313685,13,0.066846155,0.013844443,0.072,0.050000004,0.091,0.040999994,2.2400293,1.3323475,1.9358763,0.6077514,5.152026,4.544275,5,0.1366,0.027229398,0.147,0.103,0.17300001,0.07000001,5.699253,4.498621,5.4881787,0.6560574,11.872032,11.215975,6,0.13768071,0.029989297,0.1347636,0.10331021,0.18008055,0.076770335,4.853397,4.5212855,3.2081504,0.6241158,11.872032,11.247916,0.055421688,2,0.66409814,0.1360099,0.66409814,0.5280883,0.8001081,0.2720198,14.2481,2.0721097,14.2481,12.17599,16.32021,4.1442194,distracted
5.7222505,17,0.067705885,0.023933157,0.06,0.051,0.15200001,0.10100001,1.6998023,1.2196858,1.3604459,0.0961489,5.3915777,5.2954288,4,0.1365,0.019551218,0.1465,0.103,0.15,0.047000006,7.30805,7.2155485,5.472004,0.5758803,17.712313,17.136433,9,0.13077608,0.034760423,0.11363538,0.10101981,0.21355094,0.11253113,3.2480223,2.219451,2.7841697,0.5758803,6.2401347,5.664254,0.021428572,1,0.4320546,0,0.4320546,0.4320546,0.4320546,0,18.224102,0,18.224102,18.224102,18.224102,0,distracted
6.774633,19,0.07773684,0.033259496,0.067999996,0.051,0.19600001,0.14500001,1.5385352,1.317224,0.767975,0.591944,4.912535,4.320591,3,0.17233333,0.038904436,0.19199999,0.11800001,0.207,0.088999994,9.744057,11.491662,2.159992,1.088242,25.983936,24.895695,6,0.17442662,0.061768573,0.17386246,0.105323315,0.26400378,0.15868047,4.805358,4.72979,2.9600582,0.6561287,13.743806,13.087677,0.042857144,1,0.9437418,0,0.9437418,0.9437418,0.9437418,0,28.896214,0,28.896214,28.896214,28.896214,0,distracted
